sample,feature_extraction_time,knn_search_time,image_auroc,pixel_auroc,pca_dim,n_split
bottle,0.02179475264115767,0.8454696048389782,1.0,0.98069772962957,128,0.1
cable,0.01204473093936318,0.9114766120910645,0.9900674662668666,0.9654132347673154,128,0.1
capsule,0.012298233368817498,0.9262001654681038,0.9509373753490228,0.970075694681964,128,0.1
carpet,0.011888392766316732,1.1824690500895183,0.9418138041733548,0.9787279772060758,128,0.1
grid,0.01211254596710205,1.1311742782592773,0.8454469507101087,0.9603406482550095,128,0.1
hazelnut,0.01761838368007115,1.7285570417131697,1.0,0.985971218686738,128,0.1
leather,0.013547897338867188,1.1065050661563873,0.9976222826086957,0.9942656611208565,128,0.1
metal_nut,0.012373717625935872,0.9427690188090007,0.9721407624633431,0.9587813894886668,128,0.1
pill,0.014290741511753626,1.2140575817653112,0.9154391707583198,0.9002134902778006,128,0.1
screw,0.011733770370483398,1.4417449116706849,0.8514039762246361,0.9842444848309521,128,0.1
tile,0.012922445933024088,1.0026570320129395,0.9595959595959597,0.8655647747395204,128,0.1
toothbrush,0.015253265698750814,0.23538490136464438,0.9444444444444444,0.9859057409379531,128,0.1
transistor,0.014500599641066331,0.9700173781468318,0.9141666666666668,0.859360147661195,128,0.1
wood,0.013948321342468262,1.1179065227508544,0.9789473684210527,0.9185689872312793,128,0.1
zipper,0.012944811268856651,1.1585941189213802,0.983718487394958,0.9693522754846113,128,0.1
