sample,feature_extraction_time,knn_search_time,image_auroc,pixel_auroc,pca_dim,n_split
bottle,0.015689568086103958,0.6343787583437833,1.0,0.981373329942883,64,0.1
cable,0.014165137943468596,0.6870059590590628,0.9951274362818591,0.971225791665467,64,0.1
capsule,0.013644905651316923,0.7465021049275118,0.9541284403669724,0.972538470743707,64,0.1
carpet,0.017112255096435547,1.0005493005116781,0.923354735152488,0.9658750385975325,64,0.1
grid,0.022800493240356445,0.8780981302261353,0.81203007518797,0.9511737566086994,64,0.1
hazelnut,0.042331082480294366,1.1589435338974,1.0,0.9834165294875274,64,0.1
leather,0.0284309983253479,0.740941658616066,0.9857336956521738,0.9907306548936365,64,0.1
metal_nut,0.012714465459187826,0.6193353494008382,0.9775171065493646,0.9580538420982999,64,0.1
pill,0.01332168352036249,0.7883356412251791,0.9312602291325696,0.8866893943676457,64,0.1
screw,0.01220639944076538,0.9326006650924683,0.8358270137323222,0.9801602339156721,64,0.1
tile,0.014127794901529949,0.6743494033813476,0.9181096681096681,0.8098663609767783,64,0.1
toothbrush,0.014412244160970053,0.1603545347849528,0.9444444444444444,0.9850816531264373,64,0.1
transistor,0.014862262285672702,0.6469538945418137,0.9204166666666665,0.8615796193118775,64,0.1
wood,0.014098620414733887,0.7740604877471924,0.9333333333333333,0.8888214077642955,64,0.1
zipper,0.013036364003231651,0.7377426624298096,0.9845063025210083,0.9657344784650052,64,0.1
