sample,feature_extraction_time,knn_search_time,image_auroc,pixel_auroc,pca_dim,n_split
bottle,0.03198272531682795,0.40265755219893024,1.0,0.9805974710705467,64,0.075
cable,0.027326345443725586,0.478511233078806,0.993440779610195,0.9689992193908215,64,0.075
capsule,0.013184547424316406,0.4643573620740105,0.9262066214599123,0.9714620684558983,64,0.075
carpet,0.03687124252319336,0.8167353630065918,0.9085072231139647,0.9659538709363757,64,0.075
grid,0.04899628162384033,0.6993892669677735,0.8111946532999165,0.945779445035645,64,0.075
hazelnut,0.0294536863054548,1.2407975537436349,0.9996428571428572,0.98250419697985,64,0.075
leather,0.046252280473709106,0.6121287643909454,0.9870923913043478,0.9891654010547277,64,0.075
metal_nut,0.016954549153645835,0.5168278058369954,0.9657869012707723,0.9569192265232274,64,0.075
pill,0.02424010776338123,0.7000538394564674,0.9277141298417895,0.8835749951241669,64,0.075
screw,0.02054264545440674,0.6301077842712403,0.8227095716335315,0.9792041161728223,64,0.075
tile,0.01646256446838379,0.6079177856445312,0.8939393939393938,0.7976406250822754,64,0.075
toothbrush,0.03240501880645752,0.1470439831415812,0.9555555555555555,0.9850601790159949,64,0.075
transistor,0.01391447507418119,0.5179596314063439,0.9058333333333333,0.8507121714000135,64,0.075
wood,0.012934160232543946,0.5257272481918335,0.9412280701754386,0.8888414519308648,64,0.075
zipper,0.012155808900531969,0.46135970165855006,0.9771533613445378,0.9633534570143152,64,0.075
