sample,feature_extraction_time,knn_search_time,image_auroc,pixel_auroc,pca_dim,n_split
bottle,0.0245051167228005,2.046079332178289,1.0,0.9813019655324348,256,0.1
cable,0.0207079837196751,2.04899653635527,0.9808845577211394,0.9576551645290264,256,0.1
capsule,0.0178855867946849,2.308620298610014,0.9401675309134424,0.9735487384354606,256,0.1
carpet,0.019989267985026,2.808933623631795,0.956661316211878,0.982946037139102,256,0.1
grid,0.016238260269165,2.6067060470581054,0.8705096073517127,0.9642185597992428,256,0.1
hazelnut,0.0211953946522303,3.928709302629744,1.0,0.9858104095943028,256,0.1
leather,0.0336189717054367,2.267794817686081,0.9996603260869564,0.994687820246773,256,0.1
metal_nut,0.0120358308156331,1.5924270311991373,0.9745845552297164,0.9587577156675684,256,0.1
pill,0.0161615099225725,1.9545122328258693,0.9290780141843972,0.9110441790074136,256,0.1
screw,0.0126055479049682,2.379839193820953,0.8651362984218077,0.9852074793761956,256,0.1
tile,0.0139833768208821,1.807935698827108,0.9772727272727272,0.890766208064148,256,0.1
toothbrush,0.0363478660583496,0.51072625319163,0.9583333333333334,0.9870368441554908,256,0.1
transistor,0.0119286133692814,1.4729639016664946,0.9245833333333332,0.857666693225043,256,0.1
wood,0.0124556303024291,1.793049931526184,0.986842105263158,0.9330133137390736,256,0.1
zipper,0.0112801100078381,1.6849321942580373,0.983718487394958,0.9728037446772662,256,0.1
